NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,TIMEFRAME,LAT,LON
01=,Maitri Bagh ,Zoo,Historical,3285.000000000000000,4,D3,21.246342568626275, 81.3490979041893
02-,Glacier Peak,US-Washington,Tephrochronology,3213.000000000000000,5,D4,22.62716291546509, 81.77756469313783 
03-,Rainier,US-Washington,Dendrochronology,4392.000000000000000,3,D3,22.19042523484747, 82.17307249832108
05-,St. Helens,US-Washington,Historical,2549.000000000000000,2,D1,21.46121681789147, 82.24448362981249
04-,Adams,US-Washington,Tephrochronology,3742.000000000000000,5,D6,21.243331402032663, 81.27322109777072
06-,Wild life Sanctuary,WildLife,Radiocarbon,1329.000000000000000,1,D7,21.210048272247978, 81.26498135182939
07,Nandanvan Jungle Safari,WildLife,Radiocarbon,1806.000000000000000,5,D7,21.09683738667714, 81.78177896318648
08-,Tiger Safari,WildLife,Historical,3426.000000000000000,4,D3,21.107570134191516, 81.77220148454396
09-,Sitanadi Wildlife Sanctuary,Biodiversity Park,Varve Count,3199.000000000000000,2,D6,20.458887159832443, 81.97487034591772
10-,Barnawara Forest,Forest,Radiocarbon,1230.000000000000000m,3,D7,21.483179047764107, 82.53041396179637
11, Bhoremdev WildLife,WildLife,Radiocarbon,1664.000000000000000,5,D7,22.01604966617204, 81.09949373003906
12-,Barnawapare Forest,Forest,Radiocarbon,2376.000000000000000,2,D6,21.455518218913955, 82.51746790042262
13-,Mangata WildLife,Animal Resarch,Radiocarbon,2095.000000000000000,3,D6,21.207096860518124, 81.15509347767507
14-,Udanti WildLIfe,WildLife,Radiocarbon,3074.000000000000000,4,D6,20.123629463164505, 82.37019086866528
15-,Ancient Temple,Temple,Radiocarbon,3157.000000000000000,3,D7,21.909067962922485, 82.28347672536758
16-,Malhar Fort,Historic Place,Tephrochronology,2763.000000000000000,1,D7,21.911917603293574, 82.27085528840364
17-,GURU GHASIDAS CHOUK PONCH,Roming Place,Radiocarbon,2434.000000000000000,3,D6,22.136417313296434, 82.56621213437272
18-,Rudra Shiv Mandir,Temple,Radiocarbon,2163.000000000000000,5,D7,21.922447381370493, 82.02474950688563
19-,Bhim Kichak Temple,Temple,Holocene?,1698.000000000000000,4,?,21.90626462609343, 82.27697875238303
20-,Sirpur Historical Place with Laxman Temple,temple,Holocene?,1956.000000000000000,5,?,21.353941811054874, 82.18902300688562
09-,BSP,Steel Plant,Holocene?,1652.000000000000000,4,?,21.398789753648803, 81.27915396291999



